ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.type,target
850.0,830.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
579.0,559.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
351.0,331.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
531.0,511.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
557.0,537.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3915.0,0.0,1.0,1.0,0.0,9.0,0.0,255.0,1.0
851.0,831.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
797.0,777.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
812.0,792.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1476.0,3308.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
358.0,338.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
599.0,579.0,0.0,1.0,1.0,0.0,1.0,13.0,255.0,1.0
851.0,831.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
581.0,561.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
791.0,771.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
806.0,786.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
561.0,541.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
111.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
498.0,478.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3915.0,0.0,1.0,1.0,0.0,9.0,0.0,255.0,1.0
805.0,785.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,4014.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
1500.0,3308.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
581.0,561.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
826.0,806.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
806.0,786.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
581.0,561.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
579.0,559.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
557.0,537.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
599.0,579.0,0.0,1.0,1.0,0.0,1.0,13.0,255.0,1.0
539.0,519.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
560.0,540.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
373.0,353.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0
1500.0,3283.0,0.0,1.0,1.0,0.0,200.0,0.0,255.0,1.0
793.0,773.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3144.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
556.0,536.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
586.0,566.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
794.0,774.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
