ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,target
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
429.0,409.0,0.0,0.0,1.0,0.0,8.0,1.0,93606690.0,0.0
640.0,620.0,0.0,0.0,1.0,0.0,6.0,1.0,25690804.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
713.0,693.0,0.0,0.0,1.0,0.0,7.0,9.0,69661280.0,0.0
1030.0,1010.0,0.0,0.0,1.0,0.0,8.0,1.0,68977940.0,0.0
667.0,647.0,0.0,0.0,1.0,0.0,8.0,1.0,79281760.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
370.0,350.0,0.0,0.0,1.0,0.0,4.0,1.0,62911280.0,0.0
636.0,616.0,0.0,0.0,1.0,0.0,6.0,1.0,5741206.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
640.0,620.0,0.0,0.0,1.0,0.0,6.0,1.0,15357146.0,0.0
138.0,118.0,0.0,0.0,1.0,0.0,2.0,3.0,22350230.0,0.0
632.0,612.0,0.0,0.0,1.0,0.0,7.0,1.0,56826492.0,0.0
696.0,676.0,1.0,0.0,0.0,0.0,13.0,14.0,88760520.0,1.0
353.0,333.0,0.0,0.0,1.0,0.0,4.0,1.0,10120918.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
78.0,58.0,1.0,1.0,0.0,1.0,0.0,0.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
646.0,626.0,0.0,0.0,1.0,0.0,6.0,3.0,95606590.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
633.0,613.0,0.0,0.0,1.0,0.0,6.0,1.0,95601310.0,0.0
395.0,375.0,0.0,0.0,1.0,0.0,5.0,1.0,46879184.0,0.0
78.0,58.0,1.0,1.0,0.0,1.0,0.0,0.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
755.0,735.0,0.0,0.0,1.0,0.0,9.0,6.0,99913816.0,0.0
802.0,782.0,0.0,0.0,1.0,0.0,6.0,1.0,86801590.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
359.0,339.0,0.0,0.0,1.0,0.0,4.0,1.0,39457980.0,0.0
172.0,152.0,0.0,0.0,1.0,0.0,2.0,3.0,21529220.0,0.0
370.0,350.0,0.0,0.0,1.0,0.0,5.0,1.0,29881828.0,0.0
645.0,625.0,0.0,0.0,1.0,0.0,6.0,2.0,28406324.0,0.0
696.0,676.0,1.0,0.0,0.0,0.0,13.0,14.0,88760520.0,1.0
129.0,109.0,0.0,0.0,1.0,0.0,2.0,1.0,19205664.0,0.0
701.0,681.0,0.0,0.0,1.0,0.0,7.0,9.0,44751960.0,0.0
180.0,160.0,0.0,0.0,1.0,0.0,4.0,1.0,34491664.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
381.0,361.0,0.0,0.0,1.0,0.0,6.0,1.0,40167196.0,0.0
78.0,58.0,1.0,1.0,0.0,1.0,0.0,0.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
379.0,359.0,0.0,0.0,1.0,0.0,5.0,1.0,31043612.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
579.0,559.0,0.0,0.0,1.0,0.0,11.0,1.0,15619105.0,0.0
346.0,326.0,0.0,0.0,1.0,0.0,4.0,1.0,28043888.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
374.0,354.0,0.0,0.0,1.0,0.0,5.0,1.0,1027858.0,0.0
607.0,587.0,0.0,0.0,1.0,0.0,5.0,2.0,85704580.0,0.0
