ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.count.answers,dns.qry.name,dns.qry.type,target
1500.0,3915.0,1.0,1.0,9.0,73344410.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1476.0,3319.0,1.0,1.0,201.0,27787056.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,6872649.0,28.0,0.0
1500.0,3311.0,1.0,1.0,200.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,30530348.0,1.0,0.0
1500.0,4014.0,1.0,1.0,14.0,73344410.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,30530348.0,1.0,0.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
84.0,64.0,0.0,0.0,0.0,18751852.0,12.0,0.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
124.0,104.0,0.0,0.0,0.0,30662994.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,6872649.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,30530348.0,28.0,0.0
1500.0,3311.0,1.0,1.0,200.0,27787056.0,255.0,1.0
1500.0,3661.0,1.0,1.0,15.0,73344410.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,6872649.0,28.0,0.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,30530348.0,1.0,0.0
267.0,247.0,0.0,0.0,1.0,60687670.0,1.0,0.0
1500.0,3311.0,1.0,1.0,200.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
124.0,104.0,0.0,0.0,0.0,30662994.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,30530348.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,30530348.0,28.0,0.0
137.0,117.0,0.0,0.0,0.0,62710984.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,6872649.0,1.0,0.0
111.0,91.0,1.0,1.0,1.0,27787056.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,30530348.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,6872649.0,1.0,0.0
75.0,55.0,0.0,0.0,0.0,30530348.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,30530348.0,1.0,0.0
137.0,117.0,0.0,0.0,0.0,62710984.0,28.0,0.0
1500.0,3311.0,1.0,1.0,200.0,27787056.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
756.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1092.0,3661.0,1.0,1.0,15.0,73344410.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,3312.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,4014.0,1.0,1.0,14.0,73344410.0,255.0,1.0
825.0,805.0,1.0,1.0,2.0,73344410.0,255.0,1.0
75.0,55.0,0.0,0.0,0.0,6872649.0,1.0,0.0
156.0,136.0,0.0,0.0,1.0,72740220.0,28.0,0.0
1500.0,3661.0,1.0,1.0,15.0,73344410.0,255.0,1.0
1500.0,3661.0,1.0,1.0,15.0,73344410.0,255.0,1.0
1500.0,3323.0,1.0,1.0,201.0,27787056.0,255.0,1.0
1500.0,3661.0,1.0,1.0,15.0,73344410.0,255.0,1.0
1500.0,3915.0,1.0,1.0,9.0,73344410.0,255.0,1.0
