ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.type,target
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,255.0,1.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
402.0,382.0,1.0,0.0,0.0,2.0,0.0,1.0,28.0,0.0
1092.0,1072.0,1.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0
121.0,101.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
145.0,125.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
876.0,856.0,1.0,0.0,0.0,2.0,4.0,5.0,28.0,0.0
120.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
128.0,108.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,255.0,1.0
148.0,128.0,1.0,0.0,0.0,1.0,1.0,1.0,28.0,0.0
141.0,121.0,0.0,0.0,0.0,0.0,2.0,3.0,28.0,0.0
120.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
120.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0
1302.0,1282.0,0.0,1.0,1.0,17.0,13.0,1.0,255.0,1.0
1302.0,1282.0,0.0,1.0,1.0,17.0,13.0,1.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,255.0,1.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
89.0,69.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,255.0,1.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
121.0,101.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,255.0,1.0
123.0,103.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
180.0,160.0,1.0,0.0,0.0,1.0,3.0,2.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,255.0,1.0
1500.0,1742.0,0.0,1.0,1.0,17.0,13.0,23.0,255.0,1.0
826.0,806.0,1.0,0.0,0.0,2.0,4.0,4.0,28.0,0.0
121.0,101.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
157.0,137.0,0.0,0.0,0.0,0.0,2.0,3.0,28.0,0.0
1104.0,1084.0,1.0,0.0,0.0,2.0,4.0,3.0,28.0,0.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
120.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,255.0,1.0
172.0,152.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,255.0,1.0
121.0,101.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0
1500.0,1742.0,0.0,1.0,1.0,17.0,13.0,23.0,255.0,1.0
195.0,175.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0
146.0,126.0,0.0,0.0,0.0,0.0,2.0,3.0,28.0,0.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,255.0,1.0
84.0,64.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,255.0,1.0
90.0,70.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
172.0,152.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0
