ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.count.answers,dns.qry.name,dns.qry.type,target
91.0,71.0,1.0,0.0,0.0,1.0,59054064.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
74.0,54.0,0.0,1.0,1.0,0.0,70575140.0,1.0,1.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
75.0,55.0,0.0,0.0,0.0,0.0,30530348.0,1.0,0.0
95.0,75.0,1.0,0.0,0.0,1.0,28367846.0,1.0,0.0
95.0,75.0,1.0,0.0,0.0,1.0,44396930.0,1.0,0.0
74.0,54.0,0.0,1.0,0.0,0.0,70575140.0,1.0,1.0
232.0,212.0,1.0,0.0,0.0,1.0,24019434.0,1.0,0.0
75.0,55.0,0.0,0.0,0.0,0.0,6872649.0,28.0,0.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1092.0,1072.0,1.0,0.0,0.0,2.0,67487200.0,1.0,0.0
75.0,55.0,0.0,0.0,0.0,0.0,6872649.0,28.0,0.0
393.0,373.0,1.0,0.0,0.0,2.0,67487200.0,1.0,0.0
232.0,212.0,1.0,0.0,0.0,1.0,24019434.0,1.0,0.0
226.0,206.0,1.0,0.0,0.0,1.0,59054064.0,1.0,0.0
1089.0,1069.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
107.0,87.0,1.0,0.0,0.0,1.0,19222324.0,28.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
251.0,231.0,1.0,0.0,0.0,2.0,54999816.0,15.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
79.0,59.0,1.0,1.0,1.0,1.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
518.0,498.0,0.0,0.0,0.0,0.0,19222324.0,1.0,0.0
560.0,540.0,0.0,0.0,0.0,0.0,44396930.0,1.0,0.0
858.0,838.0,1.0,0.0,0.0,2.0,75248310.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
74.0,54.0,0.0,1.0,1.0,0.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
107.0,87.0,1.0,0.0,0.0,1.0,19222324.0,28.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1476.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
522.0,502.0,0.0,0.0,0.0,0.0,44396930.0,28.0,0.0
129.0,109.0,1.0,0.0,0.0,2.0,24019434.0,28.0,0.0
146.0,126.0,1.0,0.0,0.0,0.0,23875076.0,12.0,0.0
146.0,126.0,1.0,0.0,0.0,0.0,92448810.0,12.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
103.0,83.0,1.0,0.0,0.0,1.0,59054064.0,28.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
389.0,369.0,1.0,0.0,0.0,2.0,82923940.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
147.0,127.0,0.0,0.0,0.0,0.0,44396930.0,28.0,0.0
208.0,188.0,1.0,0.0,0.0,1.0,65716824.0,1.0,0.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
107.0,87.0,1.0,0.0,0.0,1.0,19222324.0,28.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
103.0,83.0,0.0,0.0,0.0,0.0,6872649.0,1.0,0.0
390.0,370.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
285.0,265.0,0.0,1.0,0.0,0.0,70575140.0,1.0,1.0
390.0,370.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
255.0,235.0,1.0,0.0,0.0,1.0,13225399.0,1.0,0.0
219.0,199.0,1.0,0.0,0.0,1.0,44396930.0,1.0,0.0
75.0,55.0,0.0,0.0,0.0,0.0,6872649.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
89.0,69.0,1.0,0.0,0.0,1.0,24019434.0,1.0,0.0
402.0,382.0,1.0,0.0,0.0,2.0,13225399.0,28.0,0.0
103.0,83.0,0.0,0.0,0.0,0.0,30530348.0,1.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
129.0,109.0,1.0,0.0,0.0,2.0,24019434.0,28.0,0.0
861.0,841.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
148.0,128.0,1.0,0.0,0.0,0.0,64594988.0,12.0,0.0
140.0,120.0,1.0,0.0,0.0,0.0,61332064.0,12.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4075.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
522.0,502.0,0.0,0.0,0.0,0.0,44396930.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
103.0,83.0,1.0,0.0,0.0,1.0,59054064.0,28.0,0.0
861.0,841.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
107.0,87.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
390.0,370.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
528.0,508.0,0.0,0.0,0.0,0.0,44396930.0,1.0,0.0
89.0,69.0,1.0,0.0,0.0,1.0,24019434.0,1.0,0.0
1476.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
103.0,83.0,0.0,0.0,0.0,0.0,30530348.0,1.0,0.0
1500.0,4103.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
64.0,44.0,0.0,0.0,0.0,0.0,30530348.0,1.0,0.0
74.0,54.0,0.0,1.0,1.0,0.0,70575140.0,1.0,1.0
89.0,69.0,1.0,0.0,0.0,1.0,24019434.0,1.0,0.0
231.0,211.0,1.0,0.0,0.0,1.0,44396930.0,28.0,0.0
418.0,398.0,1.0,0.0,0.0,2.0,13225399.0,1.0,0.0
1500.0,4086.0,0.0,1.0,1.0,252.0,70575140.0,1.0,1.0
