ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,dns.qry.type,target
619.0,599.0,0.0,0.0,1.0,0.0,6.0,1.0,67485760.0,1.0,0.0
243.0,223.0,0.0,0.0,1.0,0.0,5.0,5.0,75161380.0,1.0,0.0
351.0,331.0,0.0,0.0,1.0,0.0,4.0,1.0,81075480.0,12.0,0.0
56.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
832.0,812.0,0.0,0.0,1.0,0.0,6.0,1.0,27046038.0,12.0,0.0
436.0,416.0,1.0,1.0,0.0,13.0,13.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
823.0,803.0,0.0,0.0,1.0,0.0,6.0,1.0,94013050.0,12.0,0.0
798.0,778.0,0.0,0.0,1.0,0.0,6.0,1.0,23258026.0,12.0,0.0
162.0,142.0,0.0,0.0,0.0,0.0,1.0,1.0,72732290.0,12.0,0.0
348.0,328.0,0.0,0.0,1.0,0.0,4.0,1.0,14247513.0,12.0,0.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
833.0,813.0,0.0,0.0,1.0,0.0,6.0,1.0,72479940.0,12.0,0.0
820.0,800.0,0.0,0.0,1.0,0.0,6.0,1.0,63718172.0,12.0,0.0
1318.0,1298.0,1.0,1.0,0.0,15.0,13.0,23.0,61960000.0,255.0,1.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
364.0,344.0,0.0,0.0,1.0,0.0,5.0,1.0,37718724.0,12.0,0.0
352.0,332.0,0.0,0.0,1.0,0.0,4.0,1.0,26925732.0,12.0,0.0
1369.0,1349.0,0.0,0.0,1.0,5.0,0.0,1.0,26290004.0,48.0,0.0
484.0,464.0,0.0,0.0,1.0,0.0,4.0,1.0,82734664.0,12.0,0.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
345.0,325.0,0.0,0.0,1.0,0.0,4.0,1.0,28240002.0,12.0,0.0
1500.0,1742.0,1.0,1.0,0.0,17.0,13.0,23.0,61960000.0,255.0,1.0
814.0,794.0,0.0,0.0,1.0,0.0,6.0,1.0,47023244.0,12.0,0.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
799.0,779.0,0.0,0.0,1.0,0.0,6.0,1.0,47354416.0,12.0,0.0
346.0,326.0,0.0,0.0,1.0,0.0,4.0,1.0,10024536.0,12.0,0.0
352.0,332.0,0.0,0.0,1.0,0.0,4.0,1.0,13656629.0,12.0,0.0
825.0,805.0,0.0,0.0,0.0,0.0,6.0,1.0,57934050.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
394.0,374.0,0.0,0.0,1.0,0.0,4.0,3.0,41499556.0,1.0,0.0
1500.0,2082.0,1.0,1.0,0.0,20.0,13.0,23.0,61960000.0,255.0,1.0
1035.0,1015.0,0.0,0.0,1.0,0.0,8.0,1.0,37586160.0,1.0,0.0
1500.0,2139.0,1.0,1.0,0.0,21.0,13.0,23.0,61960000.0,255.0,1.0
169.0,149.0,0.0,0.0,1.0,0.0,1.0,1.0,22719460.0,12.0,0.0
351.0,331.0,0.0,0.0,1.0,0.0,4.0,1.0,50465040.0,12.0,0.0
584.0,564.0,0.0,0.0,1.0,0.0,4.0,1.0,53606230.0,12.0,0.0
1500.0,2139.0,1.0,1.0,0.0,21.0,13.0,23.0,61960000.0,255.0,1.0
825.0,805.0,0.0,0.0,1.0,0.0,6.0,1.0,92882500.0,12.0,0.0
827.0,807.0,0.0,0.0,1.0,0.0,6.0,1.0,83674640.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
436.0,416.0,1.0,1.0,0.0,13.0,13.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
